"state","population","positive","negative","pending","total","delta","tests_per_million","pct_positive","date"
"Arizona",7278717,5,44,7,56,0.0980392156862746,7.69366359483409,0.102040816326531,2020-03-08
"Arkansas",3017804,0,6,0,6,0,1.98820069162875,0,2020-03-08
"Colorado",5758736,8,247,0,255,1.05645161290323,44.2805504541274,0.0313725490196078,2020-03-08
"District of Columbia",705749,1,14,3,18,1,25.5048182852544,0.0666666666666667,2020-03-08
"Florida",21477737,18,118,108,244,1.12173913043478,11.3606009795166,0.132352941176471,2020-03-08
"Idaho",1787065,0,27,0,27,0,15.1085718762328,0,2020-03-08
"Illinois",12671821,6,191,44,241,0.0954545454545455,19.0185767302111,0.0304568527918782,2020-03-08
"Maryland",6045680,3,52,0,55,0.341463414634146,9.09740508925382,0.0545454545454545,2020-03-08
"Michigan",9986857,0,36,11,47,0.740740740740741,4.70618533939156,0,2020-03-08
"Minnesota",5639632,2,78,80,160,0.63265306122449,28.3706454605549,0.025,2020-03-08
"Nebraska",1934408,3,30,17,50,1.27272727272727,25.8477012088453,0.0909090909090909,2020-03-08
"New Hampshire",1359711,52,2,2,56,0.866666666666667,41.1852224480055,0.962962962962963,2020-03-08
"Ohio",11689100,0,10,4,14,0.4,1.19769699976902,0,2020-03-08
"Oregon",4217737,14,100,53,167,0.757894736842105,39.5946926041145,0.12280701754386,2020-03-08
"South Dakota",884659,0,5,0,5,0,5.65189525003419,0,2020-03-08
"Wisconsin",5822434,1,31,12,44,0,7.55697703056831,0.03125,2020-03-08
"Total",100277847,113,991,341,1445,0.1245136,14.4099623519041,0.102355072463768,2020-03-08
"Arizona",7278717,3,33,15,51,0.416666666666667,7.00672934529533,0.0833333333333333,2020-03-06
"Arkansas",3017804,0,6,0,6,0,1.98820069162875,0,2020-03-06
"Colorado",5758736,2,92,30,124,1.13793103448276,21.5325029659286,0.0212765957446809,2020-03-06
"District of Columbia",705749,0,8,1,9,0.125,12.7524091426272,0,2020-03-06
"Florida",21477737,9,55,51,115,0.0550458715596329,5.3543816091984,0.140625,2020-03-06
"Idaho",1787065,0,27,0,27,0.8,15.1085718762328,0,2020-03-06
"Illinois",12671821,5,180,35,220,0.116751269035533,17.36135635123,0.027027027027027,2020-03-06
"Maryland",6045680,3,26,12,41,0.32258064516129,6.78170197562557,0.103448275862069,2020-03-06
"Michigan",9986857,0,18,9,27,2.375,2.703553280076,0,2020-03-06
"Minnesota",5639632,1,48,49,98,2.0625,17.3770203445899,0.0204081632653061,2020-03-06
"Nebraska",1934408,0,17,5,22,0.375,11.3729885318919,0,2020-03-06
"New Hampshire",1359711,28,2,0,30,0.363636363636364,22.0635120257172,0.933333333333333,2020-03-06
"New York",19453561,33,92,236,361,2.68367346938776,18.5570138032826,0.264,2020-03-06
"Ohio",11689100,0,8,2,10,0.25,0.855497856977868,0,2020-03-06
"Oregon",4217737,3,64,28,95,0.557377049180328,22.5239269304843,0.0447761194029851,2020-03-06
"South Dakota",884659,0,5,0,5,Inf,5.65189525003419,0,2020-03-06
"Wisconsin",5822434,1,31,12,44,0.692307692307692,7.55697703056831,0.03125,2020-03-06
"Total",119731408,88,712,485,1285,0.7578659,10.7323552062463,0.11,2020-03-06
"Arizona",7278717,2,28,6,36,NA,4.94592659667906,0.0666666666666667,2020-03-05
"Arkansas",3017804,0,4,2,6,NA,1.98820069162875,0,2020-03-05
"Colorado",5758736,0,37,21,58,NA,10.0716546130957,0,2020-03-05
"District of Columbia",705749,0,6,2,8,NA,11.3354747934464,0,2020-03-05
"Florida",21477737,9,31,69,109,NA,5.07502256871848,0.225,2020-03-05
"Idaho",1787065,0,15,0,15,NA,8.39365104235157,0,2020-03-05
"Illinois",12671821,5,165,27,197,NA,15.5463054599651,0.0294117647058824,2020-03-05
"Maryland",6045680,0,17,14,31,NA,5.12762832303397,0,2020-03-05
"Michigan",9986857,0,8,0,8,NA,0.801052823726223,0,2020-03-05
"Minnesota",5639632,0,22,10,32,NA,5.67412909211097,0,2020-03-05
"Mississippi",2976149,0,0,0,NA,NA,NA,NA,2020-03-05
"Nebraska",1934408,0,12,4,16,NA,8.27126438683049,0,2020-03-05
"New Hampshire",1359711,2,16,4,22,NA,16.1799088188593,0.111111111111111,2020-03-05
"New York",19453561,11,49,38,98,NA,5.03763809618198,0.183333333333333,2020-03-05
"Ohio",11689100,0,7,1,8,NA,0.684398285582295,0,2020-03-05
"Oregon",4217737,3,45,13,61,NA,14.4627320290478,0.0625,2020-03-05
"South Dakota",884659,0,0,0,0,NA,0,NA,2020-03-05
"Wisconsin",5822434,1,19,6,26,NA,4.465486427154,0.05,2020-03-05
"Total",100094531,33,481,217,731,NA,7.30309631002717,0.0642023346303502,2020-03-05
"Arizona",7278717,5,44,7,56,0,7.69366359483409,0.102040816326531,2020-03-09
"Arkansas",3017804,0,12,0,12,1,3.97640138325749,0,2020-03-09
"Colorado",5758736,13,284,0,297,0.164705882352941,51.5738175877484,0.0437710437710438,2020-03-09
"Delaware",973764,0,15,3,18,NA,18.4849717179933,0,2020-03-09
"District of Columbia",705749,4,17,2,23,0.277777777777778,32.5894900311584,0.19047619047619,2020-03-09
"Florida",21477737,19,140,115,274,0.122950819672131,12.7573961819162,0.119496855345912,2020-03-09
"Idaho",1787065,0,41,0,41,0.518518518518519,22.9426461824276,0,2020-03-09
"Illinois",12671821,11,221,30,262,0.0871369294605808,20.6757971091921,0.0474137931034483,2020-03-09
"Iowa",3155070,8,32,11,51,NA,16.1644591086727,0.2,2020-03-09
"Maryland",6045680,5,73,0,78,0.418181818181818,12.9017744902145,0.0641025641025641,2020-03-09
"Michigan",9986857,0,39,24,63,0.340425531914894,6.30829098684401,0,2020-03-09
"Minnesota",5639632,2,80,82,164,0.0249999999999999,29.0799115970687,0.024390243902439,2020-03-09
"Montana",1068778,0,15,0,15,NA,14.0347200260484,0,2020-03-09
"Nebraska",1934408,3,36,9,48,-0.04,24.8137931604915,0.0769230769230769,2020-03-09
"Nevada",3080156,0,14,0,14,NA,4.54522433279353,0,2020-03-09
"New Hampshire",1359711,58,8,2,68,0.214285714285714,50.0106272582924,0.878787878787879,2020-03-09
"New Jersey",8882190,11,35,14,60,NA,6.75509080530815,0.239130434782609,2020-03-09
"New Mexico",2096829,0,57,0,57,NA,27.1839048391643,0,2020-03-09
"New York City",8623000,16,201,86,303,NA,35.1385828597936,0.0737327188940092,2020-03-09
"Ohio",11689100,3,11,5,19,0.357142857142857,1.62544592825795,0.214285714285714,2020-03-09
"Oregon",4217737,14,165,52,231,0.383233532934132,54.7687065362302,0.0782122905027933,2020-03-09
"South Carolina",5148714,7,24,0,31,NA,6.02092095229993,0.225806451612903,2020-03-09
"South Dakota",884659,0,11,0,11,1.2,12.4341695500752,0,2020-03-09
"Vermont",623989,1,34,0,35,NA,56.0907323686796,0.0285714285714286,2020-03-09
"Virginia",8535519,3,38,9,50,NA,5.85787460610187,0.0731707317073171,2020-03-09
"Wisconsin",5822434,2,36,0,38,-0.136363636363636,6.52648016276355,0.0526315789473684,2020-03-09
"Total",142465856,185,1683,451,2319,0.604844290657439,16.2775844339854,0.0990364025695931,2020-03-09
"Arizona",7278717,6,51,27,84,0.5,11.5404953922511,0.105263157894737,2020-03-11
"Arkansas",3017804,0,12,3,15,0.25,4.97050172907187,0,2020-03-11
"Colorado",5758736,18,NA,0,NA,NA,NA,NA,2020-03-11
"Delaware",973764,0,17,3,20,0.111111111111111,20.538857464437,0,2020-03-11
"District of Columbia",705749,4,20,15,39,0.695652173913043,55.2604396180512,0.166666666666667,2020-03-11
"Florida",21477737,28,222,155,405,0.478102189781022,18.8567352323944,0.112,2020-03-11
"Idaho",1787065,0,51,0,51,0.24390243902439,28.5384135439953,0,2020-03-11
"Illinois",12671821,263,63,326,652,1.48854961832061,51.4527470045544,0.806748466257669,2020-03-11
"Iowa",3155070,13,46,27,86,0.686274509803922,27.2577153597226,0.220338983050847,2020-03-11
"Maryland",6045680,9,94,0,103,0.32051282051282,17.0369586216935,0.087378640776699,2020-03-11
"Michigan",9986857,2,57,18,77,0.222222222222222,7.7101334283649,0.0338983050847458,2020-03-11
"Minnesota",5639632,3,132,0,135,-0.176829268292683,23.9377321073432,0.0222222222222222,2020-03-11
"Montana",1068778,0,21,0,21,0.4,19.6486080364678,0,2020-03-11
"Nebraska",1934408,3,47,16,66,0.375,34.1189655956758,0.06,2020-03-11
"Nevada",3080156,0,14,0,14,0,4.54522433279353,0,2020-03-11
"New Hampshire",1359711,12,53,3,68,0,50.0106272582924,0.184615384615385,2020-03-11
"New Jersey",8882190,15,44,20,79,0.316666666666667,8.89420289365573,0.254237288135593,2020-03-11
"New Mexico",2096829,0,87,0,87,0.526315789473684,41.4912231755665,0,2020-03-11
"Ohio",11689100,3,14,15,32,0.684210526315789,2.73759314232918,0.176470588235294,2020-03-11
"Oregon",4217737,15,213,67,295,0.277056277056277,69.9427204683459,0.0657894736842105,2020-03-11
"South Carolina",5148714,9,32,0,41,0.32258064516129,7.96315351755798,0.219512195121951,2020-03-11
"South Dakota",884659,5,13,2,20,0.818181818181818,22.6075810001368,0.277777777777778,2020-03-11
"Vermont",623989,1,40,0,41,0.171428571428571,65.7062864890246,0.024390243902439,2020-03-11
"Virginia",8535519,8,53,0,61,0.22,7.14660701944428,0.131147540983607,2020-03-11
"Wisconsin",5822434,43,2,0,45,0.184210526315789,7.72872650853578,0.955555555555556,2020-03-11
"Total",133842856,460,1398,697,2537,0.0940060370849505,18.9550647365146,0.247578040904198,2020-03-11
